,monthlycharge,totalcharges,totalrefunds,totalextradatacharges,totallongdistancecharges,totalrevenue,avgmonthlyloongdistancecharges,avgmonthlygbdownload,clust
0,0.21293532338308457,0.0024059543041772442,0.0,0.13333333333333333,0.0,0.003202045830483075,0.0,0.09411764705882353,1
1,0.6208955223880598,0.07090930071543965,0.0,0.0,0.10962992885836757,0.0838552999754139,0.9771954390878176,0.2,1
2,0.7681592039800995,0.20006346642049389,0.9160473990761198,0.0,0.057210664512219754,0.15801330994030766,0.22664532906581317,0.611764705882353,1
3,0.7985074626865671,0.2879875375028848,0.2697328780879695,0.0,0.13858030925290069,0.248679960996757,0.39527905581116224,0.1411764705882353,4
4,0.5796019900497512,0.3287964458804523,0.0,0.0,0.06570221504073252,0.25765221216292383,0.126625325065013,0.16470588235294117,1
5,0.5950248756218905,0.24425340410800828,0.0,0.06666666666666667,0.025222177337911534,0.18515250903580704,0.0666133226645329,0.21176470588235294,1
6,0.5194029850746269,0.005960073851834757,0.0,0.0,0.004286451670818465,0.005383016195042976,0.30566113222644525,0.35294117647058826,1
7,0.2691542288557214,0.30376182783291017,0.8224543080939949,0.0,0.0,0.2164989404564985,0.0,0.2823529411764706,1
8,0.5592039800995026,0.13003692591737828,0.0,0.0,0.18544233488184206,0.14930531745328227,0.8815763152630526,0.2235294117647059,1
9,0.5791044776119403,0.0559427648280637,0.22193211488250655,0.0,0.052921407571983214,0.05517988824199405,0.5391078215643128,0.21176470588235294,1
10,0.763681592039801,0.1271059312254789,0.0,0.8,0.035764379811037056,0.11259677637861915,0.23184636927385477,0.3411764705882353,2
11,0.5587064676616916,0.12179783060235402,0.0,0.0,0.12249208914024103,0.12456869805769871,0.5823164632926585,0.3411764705882353,1
12,0.218407960199005,0.0024694207246711286,0.0,0.0,0.0,0.0015755169351345298,0.0,0.1411764705882353,1
13,0.22786069651741292,0.013085621970920839,0.0,0.0,0.0,0.009269124049379577,0.0,0.32941176470588235,1
14,0.882089552238806,0.15526194322640202,0.0,0.06666666666666667,0.11917906595749456,0.14866892234307133,0.6537307461492298,0.12941176470588237,1
15,0.7582089552238807,0.17221324717285946,0.0,0.0,0.04232590497991427,0.1372071202661319,0.1886377275455091,0.10588235294117647,1
16,0.5597014925373134,0.06782252480960074,0.0,0.0,0.0039947036513386745,0.05012803165752075,0.035607121424284856,0.08235294117647059,1
17,0.5756218905472636,0.19546503577198246,0.0,0.0,0.20783680064633409,0.2033972292979249,0.6175235047009402,0.17647058823529413,1
18,0.7681592039800995,0.04353796445880453,0.0,0.0,0.03546982652213919,0.04191176101649275,0.6323264652930586,0.023529411764705882,1
19,0.5636815920398011,0.26362220170782363,0.0,0.0,0.4249646536053323,0.3175176743898217,0.9469893978795759,0.11764705882352941,1
20,0.7452736318407961,0.2552792522501731,0.0,0.0,0.10839561031441461,0.2171010488393525,0.32206441288257653,0.1411764705882353,1
21,0.6388059701492538,0.499803831063928,0.0,0.0,0.18299333467986267,0.4165469418747983,0.24164832966593316,0.058823529411764705,4
22,0.5184079601990049,0.013876067389799218,0.0,0.0,0.007389079647209318,0.012044676442007766,0.2634526905381076,0.11764705882352941,1
23,0.2353233830845771,0.0947726748211401,0.0,0.0,0.0,0.06846808574692381,0.0,0.09411764705882353,1
